source,destination,language,status_code
/academics/college-arts-sciences/departments-programs/biology/careers-alumni/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/cultural-immersion/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/academic-facilities/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/about/faculty-staff/,/biology-department/biology-faculty-and-staff,en,301
/academics/college-arts-sciences/departments-programs/biology/academic-offerings/honors-program/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/internships/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/scholarships/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/student-organizations/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/academic-facilities/collections/,/biology-department/biology-collections,en,301
/academics/college-arts-sciences/departments-programs/biology/contact-us/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/edi-statement/,/biology-department/biology-department-edi-statement,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/academic-facilities/greenhouses/,/biology-department/greenhouses,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/academic-facilities/instruments-labs/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/academic-facilities/james-newman-clark-bird-museum/,/biology-department/james-newman-clark-bird-museum,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/research/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/explore-opportunities/study-abroad-national-student-exchange/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/blugold-card/blugold-account/,/offices-services/university-centers/blugold-card-services/blugold-card-account,en,301
/blugold-card/,/offices-services/university-centers/blugold-card-services,en,301
/blugold-card/blugold-account/blugold-mobile-id-card/,/offices-services/university-centers/blugold-card-services/blugold-mobile-id-card,en,301
/blugold-card/cardholder-information/,/offices-services/university-centers/blugold-card-services/cardholder-information,en,301
/blugold-card/lost-stolen-damaged-blugold-cards/,/offices-services/university-centers/blugold-card-services/lost-stolen-or-damaged-blugold-cards,en,301
/blugold-card/meal-plan-administration/,/offices-services/university-centers/blugold-card-services/meal-plan-sign-administration,en,301
/blugold-card/online-photo-submission/,/offices-services/university-centers/blugold-card-services/online-photo-submission-new-students,en,301
/blugold-card/voting/,/offices-services/university-centers/voting,en,301
/blugold-central/academic-planning/what-if-degree-audit/,/offices-services/blugold-central/academic-planning/registration-changes/request-degree-audit/what,en,301
/blugold-central/student-finances/1098-t-tuition-statement/,/offices-services/blugold-central/student-finances/1098-t-tax-statement,en,301
/blugold-central/about-us/,/offices-services/blugold-central/about-blugold-central,en,301
/blugold-central/academic-planning/academic-registration-calendars/,/offices-services/blugold-central/academic-planning/academic-and-registration-calendars,en,301
/blugold-central/academic-planning/register-classes/apply-academic-forgiveness/,/offices-services/blugold-central/academic-planning/register-classes/academic-forgiveness,en,301
/blugold-central/academic-planning/,/offices-services/blugold-central/academic-planning,en,301
/blugold-central/academic-planning/registration-changes/add-classes/,/offices-services/blugold-central/academic-planning/registration-changes/add-classes,en,301
/blugold-central/academic-planning/registration-changes/appeal-credit-overload/,/offices-services/blugold-central/academic-planning/registration-changes/appeal-credit-overload,en,301
/blugold-central/academic-planning/graduation/,/offices-services/blugold-central/academic-planning/apply-graduation,en,301
/blugold-central/academic-planning/register-classes/audit-class/,/offices-services/blugold-central/academic-planning/register-classes/audit-class,en,301
/blugold-central/parking/bicycles/,/offices-services/blugold-central/parking-and-transportation/biking-uwec,en,301
/blugold-central/,/offices-services/blugold-central,en,301
/blugold-central/catalogs/,/offices-services/blugold-central/academic-planning/catalogs,en,301
/blugold-central/academic-planning/registration-changes/change-grading-option/,/offices-services/blugold-central/academic-planning/registration-changes/change-grading-option,en,301
/blugold-central/academic-planning/register-classes/class-schedules/,/offices-services/blugold-central/academic-planning/class-schedules,en,301
/blugold-central/current-student-scholarships/,/tuition-aid/scholarships-uwec,en,301
